,feature,importance,group_feature,importance_normalized
163,installments_payments_DELAY_mean_max,32,installments,0.0024130910187768646
224,bureau_balance_MONTHS_BALANCE_mean,32,bureau,0.0024130910187768646
157,installments_payments_DAYS_INSTALMENT_DELAY_max_sum,32,installments,0.0024130910187768646
113,previous_RATE_DOWN_PAYMENT_min,32,previous,0.0024130910187768646
211,card_balance_AMT_RECIVABLE_min_min,30,card,0.0022622728301033104
105,bureau_CREDIT_TYPE_Microloan_mean,30,bureau,0.0022622728301033104
160,installments_payments_DELAY_sum_mean,30,installments,0.0022622728301033104
128,installments_payments_AMT_INSTALMENT_DIFF_mean_mean,30,installments,0.0022622728301033104
221,previous_DAYS_FIRST_DUE_min,29,previous,0.0021868637357665335
96,installments_payments_AMT_PAYMENT_mean_max,29,installments,0.0021868637357665335
134,previous_WEEKDAY_APPR_PROCESS_START_SATURDAY_mean,29,previous,0.0021868637357665335
206,previous_DAYS_LAST_DUE_min,29,previous,0.0021868637357665335
205,bureau_CREDIT_TYPE_Consumer credit_mean,29,bureau,0.0021868637357665335
253,installments_payments_NUM_INSTALMENT_NUMBER_sum_min,29,installments,0.0021868637357665335
178,installments_payments_NUM_INSTALMENT_NUMBER_mean_mean,28,installments,0.0021114546414297566
168,application_COMMONAREA_AVG,28,application,0.0021114546414297566
275,card_balance_CNT_DRAWINGS_ATM_CURRENT_sum_sum,28,card,0.0021114546414297566
173,cash_balance_CNT_INSTALMENT_FUTURE_sum_min,28,cash,0.0021114546414297566
127,bureau_AMT_CREDIT_SUM_LIMIT_mean,27,bureau,0.002036045547092979
180,bureau_CREDIT_TYPE_Credit card_sum,27,bureau,0.002036045547092979
165,previous_WEEKDAY_APPR_PROCESS_START_SUNDAY_mean,27,previous,0.002036045547092979
142,cash_balance_CNT_INSTALMENT_FUTURE_mean_sum,27,cash,0.002036045547092979
170,previous_DAYS_LAST_DUE_sum,27,previous,0.002036045547092979
176,previous_PRODUCT_COMBINATION_Cash X-Sell: high_mean,27,previous,0.002036045547092979
193,previous_CHANNEL_TYPE_Country-wide_mean,26,previous,0.0019606364527562023
111,application_ENTRANCES_AVG,26,application,0.0019606364527562023
197,previous_SELLERPLACE_AREA_min,26,previous,0.0019606364527562023
236,previous_CNT_PAYMENT_max,26,previous,0.0019606364527562023
259,previous_NAME_CONTRACT_STATUS_Refused_sum,26,previous,0.0019606364527562023
214,installments_payments_DIFF_mean_mean,25,installments,0.0018852273584194254
219,bureau_AMT_CREDIT_SUM_LIMIT_count,25,bureau,0.0018852273584194254
184,previous_WEEKDAY_APPR_PROCESS_START_THURSDAY_mean,25,previous,0.0018852273584194254
108,previous_CHANNEL_TYPE_Stone_mean,24,previous,0.0018098182640826485
276,application_NAME_INCOME_TYPE_Working,24,application,0.0018098182640826485
158,application_NAME_INCOME_TYPE_State servant,24,application,0.0018098182640826485
229,previous_HOUR_APPR_PROCESS_START_min,24,previous,0.0018098182640826485
245,bureau_AMT_ANNUITY_max,23,bureau,0.0017344091697458713
179,card_balance_CNT_DRAWINGS_CURRENT_max_min,23,card,0.0017344091697458713
192,previous_WEEKDAY_APPR_PROCESS_START_MONDAY_mean,23,previous,0.0017344091697458713
213,bureau_AMT_ANNUITY_min,23,bureau,0.0017344091697458713
185,application_ELEVATORS_AVG,23,application,0.0017344091697458713
146,installments_payments_AMT_INSTALMENT_DIFF_min_mean,23,installments,0.0017344091697458713
169,card_balance_AMT_DRAWINGS_ATM_CURRENT_sum_min,22,card,0.0016590000754090944
171,previous_AMT_CREDIT_min,22,previous,0.0016590000754090944
295,bureau_balance_STATUS_max_mean,22,bureau,0.0016590000754090944
207,bureau_AMT_CREDIT_SUM_OVERDUE_max,22,bureau,0.0016590000754090944
204,cash_balance_CNT_INSTALMENT_FUTURE_min_sum,22,cash,0.0016590000754090944
294,previous_NAME_SELLER_INDUSTRY_XNA_mean,22,previous,0.0016590000754090944
249,bureau_PREVIOUS_EXTERN_LOANS,22,bureau,0.0016590000754090944
186,previous_CODE_REJECT_REASON_HC_mean,22,previous,0.0016590000754090944
242,installments_payments_NUM_INSTALMENT_NUMBER_mean_min,22,installments,0.0016590000754090944
255,card_balance_AMT_CREDIT_LIMIT_ACTUAL_mean_min,21,card,0.0015835909810723173
133,application_OBS_30_CNT_SOCIAL_CIRCLE,21,application,0.0015835909810723173
291,previous_NAME_CLIENT_TYPE_New_mean,21,previous,0.0015835909810723173
292,previous_DAYS_LAST_DUE_1ST_VERSION_min,21,previous,0.0015835909810723173
166,previous_NAME_YIELD_GROUP_XNA_mean,21,previous,0.0015835909810723173
